"Time","intelligenza artificiale"," ChatGPT"," Claude AI"," Gemini AI"," machine learning"
"2021-07-01",0,0,0,0,0
"2021-08-01",0,0,0,0,0
"2021-09-01",0,0,0,0,0
"2021-10-01",1,0,0,0,0
"2021-11-01",0,0,0,0,0
"2021-12-01",0,0,0,0,0
"2022-01-01",0,0,0,0,0
"2022-02-01",0,0,0,0,0
"2022-03-01",0,0,0,0,1
"2022-04-01",0,0,0,0,0
"2022-05-01",1,0,0,0,1
"2022-06-01",1,0,0,0,0
"2022-07-01",0,0,0,0,0
"2022-08-01",0,0,0,0,0
"2022-09-01",1,0,0,0,0
"2022-10-01",1,0,0,0,0
"2022-11-01",1,0,0,0,0
"2022-12-01",1,2,0,0,0
"2023-01-01",2,7,0,0,0
"2023-02-01",2,7,0,0,0
"2023-03-01",2,12,0,0,0
"2023-04-01",2,12,0,0,0
"2023-05-01",3,21,0,0,0
"2023-06-01",4,17,0,0,1
"2023-07-01",2,12,0,0,0
"2023-08-01",2,9,0,0,0
"2023-09-01",2,13,0,0,0
"2023-10-01",3,17,0,0,1
"2023-11-01",4,19,0,0,1
"2023-12-01",4,19,0,0,0
"2024-01-01",5,19,0,0,1
"2024-02-01",4,20,0,0,1
"2024-03-01",4,21,0,0,1
"2024-04-01",4,19,0,0,1
"2024-05-01",4,26,0,0,1
"2024-06-01",5,23,0,0,1
"2024-07-01",3,18,0,0,1
"2024-08-01",3,15,0,0,0
"2024-09-01",4,25,0,0,1
"2024-10-01",4,42,0,1,1
"2024-11-01",4,53,0,1,1
"2024-12-01",4,54,0,1,1
"2025-01-01",5,65,0,1,1
"2025-02-01",6,62,0,1,1
"2025-03-01",5,65,1,1,1
"2025-04-01",6,77,1,2,1
"2025-05-01",5,90,1,2,1
"2025-06-01",5,84,1,2,1
"2025-07-01",4,71,1,2,1
"2025-08-01",4,64,1,2,0
"2025-09-01",4,88,1,3,1
"2025-10-01",5,97,1,4,1
"2025-11-01",5,100,1,5,1
"2025-12-01",5,85,1,5,1
"2026-01-01",5,90,1,7,1
"2026-02-01",5,88,2,8,2
"2026-03-01",5,94,5,10,1
"2026-04-01",6,88,5,11,1
"2026-05-01",6,89,6,12,1
"2026-06-01",6,84,5,12,1
